name,pos,club,proj_score,ps26,bye,age,games25,category,smoky_note,adp,player_id,notes,manual_insight,avg_2025_blend,draft_score,best_pos,vorp_proxy,market_rank,expert_consensus_rank,expert_rank_count,expert_best_rank,expert_worst_rank,expert_rank_stddev,expert_percentile,data_relative_value,data_vs_next_pick,data_waiver_strength,data_projected,data_risk,data_dpp,data_b23,data_gm25,data_notes,pdf_notes,pdf_role_change,pdf_midfield_uplift,pdf_season_out,pdf_source_count,rankings_vorp,rankings_projected,rankings_avg_2026,rankings_avg_2025,rankings_variance,rankings_l5,rankings_max,rankings_cba_pct,rankings_bye_round,rankings_injury,ultimate_price,ultimate_priced_at,ultimate_avg_2025,ultimate_games_2025,ultimate_max_2025,ultimate_x100_2025,ultimate_x120_2025,ultimate_tog_pct,ultimate_cba_pct,ultimate_avg_2024,ultimate_games_2024,ultimate_avg_2023,ultimate_games_2023,projection_spread,projection_source_count,adp_value_gap,data_confidence,data_confidence_score,source_count,source_rankings_csv,source_ultimate_xlsx,source_expert_xlsx,source_data_csv,club_conflict,position_conflict,projection_conflict,bye_conflict,conflict_notes
Josh Kelly,MID,GWS,80.9,25.0,13,31,14,depth,,230.0,296347,"Injury: Hip, Return round 12. Fade. | PDF insight: 2026-Draft-Kit-gs7zws p61: Unfortunately for the GWS fan, 2026 has begun with it’s own issues, with Josh Kelly and Darcy Jones looking like spending the year on the sidelines and the social media... | Injury flag: Injured",,80.9,66.61,MID,-8.9,231,,0,,,0.0,0.5,-7.6,-39.2,13.3,74.9,High,No,?,15,"Injury: Hip, Return round 12. Fade.","2026-Draft-Kit-gs7zws p61: Unfortunately for the GWS fan, 2026 has begun with it’s own issues, with Josh Kelly and Darcy Jones looking like spending the year on the sidelines and the social media...",1,0,0,2,-6.3,80.9,80.9,93.1,-12.0,25.0,118.0,26.0,13,Injured,,,80.9,14,118.0,2,0,83.0,0.26,95.2,15,97.9,19,6.0,3,-1.0,high,0.84,3,1,1,0,1,0,0,0,0,
Oliver Hollands,DEF,CAR,76.2,78.4,14,22,23,smoky,Role: Wing move.,173.0,1023495,"Role: Wing move. will cap scoring. | PDF insight: 2026-Draft-Kit-gs7zws p28: SuperCoach and AFL Fantasy Draft Kit - 2026 George Hewett Oliver Hollands Harry McKay29 104 Not that I know anyone or would want to know anyone that works at Supercoach. || 2026-Draft-Kit-gs7zws p122: MID/FWD Talented bull, and starting to build a ceiling 7 Archie Roberts DEF Keeps on improving 8 Levi Ashcroft MID Will be trying to get three Norm Smiths 9 George Wardl...",,76.2,66.55,DEF,0.1,117,46.25,4,39,59,7.98,0.344,4.1,-20.8,6.3,83.2,Low,No,✔,23,Role: Wing move. will cap scoring.,"2026-Draft-Kit-gs7zws p28: SuperCoach and AFL Fantasy Draft Kit - 2026 George Hewett Oliver Hollands Harry McKay29 104 Not that I know anyone or would want to know anyone that works at Supercoach. || 2026-Draft-Kit-gs7zws p122: MID/FWD Talented bull, and starting to build a ceiling 7 Archie Roberts DEF Keeps on improving 8 Levi Ashcroft MID Will be trying to get three Norm Smiths 9 George Wardl...",1,1,0,2,5.5,76.2,76.2,62.1,14.0,78.4,109.0,0.0,14,,,,76.2,23,109.0,3,0,86.0,0.0,62.4,22,58.2,17,7.0,3,56.0,high,0.97,4,1,1,1,1,0,0,0,0,
Aaron Naughton,FWD,WBD,71.8,88.6,16,26,23,value,,124.0,1002404,,,71.8,66.51,FWD,3.6,96,42.75,4,39,48,3.34,0.395,-3.8,-42.7,22.1,66.2,Medium,No,✔,23,,,0,0,0,2,7.5,71.8,71.8,65.3,7.0,88.6,121.0,0.0,16,,,,71.8,23,121.0,4,1,84.0,0.0,60.2,19,66.9,23,5.6,3,28.0,high,0.94,4,1,1,1,1,0,0,0,0,
Jake Lloyd,MID,SYD,84.1,81.0,15,32,22,depth,,167.0,295342,"Still gets games, but could be last season. Spends more time on a wing. Risky pick. | PDF insight: 2026-Draft-Kit-gs7zws p106: SuperCoach and AFL Fantasy Draft Kit - 2026 Isaac Heeney Jake Lloyd Justin McInerney274412 Since the move to are more time in the midfield he has been much better in Sup... || 2026-AFL-Fantasy-Draft-Kit p10: JAKE LLOYD MID 84.1 (22) At times, playing on a wing can be a tricky place to score Fantasy points and Lloyd found that to be true last season.",,84.1,66.5,MID,-5.7,194,68.75,4,57,77,7.95,0.239,-19.6,-54.3,23.8,59.8,Low,No,?,22,"Still gets games, but could be last season. Spends more time on a wing. Risky pick.","2026-Draft-Kit-gs7zws p106: SuperCoach and AFL Fantasy Draft Kit - 2026 Isaac Heeney Jake Lloyd Justin McInerney274412 Since the move to are more time in the midfield he has been much better in Sup... || 2026-AFL-Fantasy-Draft-Kit p10: JAKE LLOYD MID 84.1 (22) At times, playing on a wing can be a tricky place to score Fantasy points and Lloyd found that to be true last season.",1,1,0,2,-3.0,84.1,84.1,79.2,5.0,81.0,116.0,,15,,,,84.1,22,116.0,4,0,87.0,0.0,75.9,23,89.7,22,24.3,3,-27.0,high,0.89,4,1,1,1,1,0,0,1,0,
George Wardlaw,MID,NTH,75.6,86.8,12,21,13,depth,,163.0,1023477,"Injury: Hamstring strain, unlikely to start season. Role: Likely full time mid. TOG can be low, may be due to injury history. | PDF insight: 2026-Draft-Kit-gs7zws p84: Opportunities His role is inside mid, we like that. || 2026-Draft-Kit-gs7zws p122: ies don’t impact he will have a great career 6 Bailey Humphrey MID/FWD Talented bull, and starting to build a ceiling 7 Archie Roberts DEF Keeps on improving 8 Levi Ashc... | Injury flag: Uncertain",,68.0,66.21,MID,-14.2,300,47.75,4,41,60,7.56,0.475,9.9,-23.3,5.4,90.8,High,No,✔,13,"Injury: Hamstring strain, unlikely to start season. Role: Likely full time mid. TOG can be low, may be due to injury history.","2026-Draft-Kit-gs7zws p84: Opportunities His role is inside mid, we like that. || 2026-Draft-Kit-gs7zws p122: ies don’t impact he will have a great career 6 Bailey Humphrey MID/FWD Talented bull, and starting to build a ceiling 7 Archie Roberts DEF Keeps on improving 8 Levi Ashc...",1,1,0,2,-11.5,75.6,75.6,78.2,-3.0,86.8,103.0,59.0,12,Uncertain,,,68.0,13,103.0,1,0,63.0,0.56,78.2,18,65.0,8,22.8,3,-137.0,high,0.89,4,1,1,1,1,0,0,1,0,
Bailey Williams,DEF/MID,WBD,76.8,73.4,16,28,23,value,,150.0,992351,PDF insight: 2026-Draft-Kit-gs7zws p120: Projected Averages SuperCoach: 73-78 AFL Fantasy: 72-77 Age: 25 Position: Fwd Position Rank: 50 SC; 70 AF Draft Range: 200+ SC & AF Risk: Medium Bailey Williams is a JAG.,,76.8,65.99,DEF,0.7,108,48,4,44,50,2.35,0.319,0.0,-24.9,8.7,79.1,Low,Yes,✔,23,,2026-Draft-Kit-gs7zws p120: Projected Averages SuperCoach: 73-78 AFL Fantasy: 72-77 Age: 25 Position: Fwd Position Rank: 50 SC; 70 AF Draft Range: 200+ SC & AF Risk: Medium Bailey Williams is a JAG.,1,1,0,2,6.1,76.8,76.8,75.7,1.0,73.4,133.0,,16,,,,76.8,23,133.0,3,1,85.0,0.0,75.3,23,69.9,23,2.3,3,42.0,high,0.94,4,1,1,1,1,0,0,0,0,
Harry Himmelberg,DEF,GWS,76.7,89.6,13,29,23,value,,186.0,993107,,,78.2,65.78,DEF,0.6,109,45.75,4,43,49,2.38,0.351,-11.5,-36.4,18.3,67.6,Low,No,✔,24,,,0,0,0,2,6.0,76.7,76.7,81.2,-4.0,89.6,107.0,,13,,,,78.2,23,107.0,3,0,88.0,0.0,80.4,23,72.3,22,10.6,3,77.0,high,0.86,4,1,1,1,1,0,0,1,0,
Jordon Sweet,RUC,PTA,81.4,90.4,12,28,19,depth,,98.0,992330,"Flag: Not assured #1 Ruck. Unlikely to share, so may be out of the side",,81.4,65.46,RUC,-3.3,239,13.75,4,11,16,1.79,0.329,-9.0,-34.1,0.5,76.4,Low,No,?,19,"Flag: Not assured #1 Ruck. Unlikely to share, so may be out of the side",,0,0,0,2,-7.1,81.4,81.4,82.8,-1.0,90.4,132.0,80.0,12,,,,81.4,19,132.0,3,1,82.0,0.8,81.7,14,0.0,0,5.0,3,-141.0,high,0.89,4,1,1,1,1,1,0,0,0,"Club mismatch: ADE, PTA"
Angus Sheldrick,MID,SYD,75.2,78.5,15,22,20,depth,,221.0,1020339,Role: May get more mid time in 2025. In and out of side. Punt only.,,62.1,64.95,MID,-14.6,309,,0,,,0.0,0.5,7.9,-26.8,6.7,87.3,Medium,No,✔,20,Role: May get more mid time in 2025. In and out of side. Punt only.,,0,0,0,2,-12.0,75.2,75.2,,0.0,78.5,101.0,38.0,15,,,,62.1,20,101.0,1,0,55.0,0.31,0.0,0,62.4,7,25.2,3,-88.0,medium,0.76,3,1,1,0,1,0,0,1,0,
Zach Guthrie,DEF,GEE,75.0,76.8,16,27,23,value,,207.0,1004870,,,76.7,64.55,DEF,-1.1,128,42.5,4,40,47,2.69,0.399,-4.6,-29.5,12.0,74.5,Low,No,✔,26,,,0,0,0,2,4.4,75.0,75.0,77.2,-2.0,76.8,149.0,,16,,,,76.7,23,149.0,2,2,83.0,0.0,75.0,23,70.1,23,2.2,3,79.0,high,0.94,4,1,1,1,1,0,0,0,0,
Paul Curtis,FWD,NTH,71.0,72.5,12,22,19,value,,188.0,1002947,Interrupted pre-season: Illness. May miss start of the season with loss of fitness.,,71.0,64.44,FWD,2.8,104,50.25,4,45,57,4.97,0.286,-5.9,-44.1,23.8,64.8,Medium,No,✔,19,Interrupted pre-season: Illness. May miss start of the season with loss of fitness.,,1,1,0,2,6.6,71.0,71.0,56.5,15.0,72.5,110.0,1.0,12,,,,71.0,19,110.0,1,0,81.0,0.01,56.3,23,43.9,21,6.2,3,84.0,high,0.97,4,1,1,1,1,0,0,0,0,
Shai Bolton,MID/FWD,FRE,70.0,69.2,14,27,22,depth,,116.0,993993,"Unlikley to get mid time unless injuries or freo are badly losing. | PDF insight: 2026-Draft-Kit-gs7zws p44: SuperCoach and AFL Fantasy Draft Kit - 2026 Shai Bolton Andrew Brayshaw Jordan Clark10 68 Had him as my season burner last year, and although that somewhat came true in...",,70.0,64.2,FWD,1.8,119,24,4,20,31,4.3,0.742,0.2,-38.7,16.4,70.2,Low,Yes,✔,23,Unlikley to get mid time unless injuries or freo are badly losing.,"2026-Draft-Kit-gs7zws p44: SuperCoach and AFL Fantasy Draft Kit - 2026 Shai Bolton Andrew Brayshaw Jordan Clark10 68 Had him as my season burner last year, and although that somewhat came true in...",1,1,0,2,5.0,69.4,69.4,73.5,-4.0,69.2,119.0,39.0,14,,,,70.0,22,119.0,2,0,83.0,0.4,73.5,22,86.8,23,0.8,3,-3.0,high,0.97,4,1,1,1,1,0,0,0,0,
Ryan Maric,DEF,WCE,75.5,83.3,15,21,22,smoky,"Role: Should be a distributor again in 2026, WC total score may cap his.",190.0,1029416,"Role: Should be a distributor again in 2026, WC total score may cap his. Late Punt. | PDF insight: 2026-Draft-Kit-gs7zws p122: suits his outside game 11 Harley Reid MID Jet in SC, long term ceiling in AFLF still unsure 12 Darcy Wilson MID/FWD Oh my, what a runner and with forward status 13 Danie...",,75.2,64.01,DEF,-0.6,105,49.5,4,44,58,5.59,0.297,-3.6,-28.5,11.2,75.5,Low,No,✔,22,"Role: Should be a distributor again in 2026, WC total score may cap his. Late Punt.","2026-Draft-Kit-gs7zws p122: suits his outside game 11 Harley Reid MID Jet in SC, long term ceiling in AFLF still unsure 12 Darcy Wilson MID/FWD Oh my, what a runner and with forward status 13 Danie...",1,0,0,2,6.6,77.3,77.3,44.2,33.0,83.3,112.0,,15,,,,75.2,22,112.0,3,0,79.0,0.0,41.0,19,49.3,10,2.1,3,85.0,high,0.97,4,1,1,1,1,0,0,0,0,
James Rowbottom,MID,SYD,78.5,71.8,15,25,23,depth,,176.0,1006126,,,78.5,63.71,MID,-11.3,263,59.5,4,57,62,2.5,0.343,-2.9,-37.6,12.3,76.5,Low,No,✔,23,,,0,0,0,2,-8.5,78.7,78.7,85.1,-6.0,71.8,106.0,51.0,15,,,,78.5,23,106.0,1,0,76.0,0.51,84.7,21,79.3,23,2.2,3,-87.0,high,0.94,4,1,1,1,1,0,0,0,0,
Xavier Duursma,MID,ESS,78.8,78.6,15,25,22,depth,,204.0,1006096,,,78.8,63.65,MID,-11.0,236,62,4,58,64,2.45,0.315,-6.0,-40.7,14.3,73.4,Low,No,✔,22,,,0,0,0,2,-6.6,80.6,80.6,81.8,-1.0,78.6,112.0,0.0,15,,,,78.8,22,112.0,5,0,81.0,0.0,81.8,15,66.3,14,7.2,3,-32.0,high,0.94,4,1,1,1,1,0,0,0,0,
Andrew McGrath,DEF,ESS,74.9,91.0,15,27,23,depth,,128.0,998102,Role: Back to half back. Don’t expect mid time.,,74.9,63.17,DEF,-1.2,131,33,4,29,41,4.69,0.536,-11.1,-36.0,17.9,68.0,Low,No,✔,23,Role: Back to half back. Don’t expect mid time.,,0,0,0,2,4.2,74.9,74.9,84.2,-9.0,91.0,134.0,21.0,15,,,,74.9,23,134.0,4,2,84.0,0.21,84.2,23,81.8,23,6.9,3,-3.0,high,0.97,4,1,1,1,1,0,0,0,0,
Ned Long,MID,COL,77.9,65.2,14,23,23,depth,,140.0,1017124,"Role: Midfield time likely to remain. | PDF insight: 2026-Draft-Kit-gs7zws p35: SuperCoach and AFL Fantasy Draft Kit - 2026 Ned Long Brayden Maynard Scott Pendlebury44 104 Playing as a defensive mid in 2026 had Long as someone you could play oﬀ waiv... || 2026-Draft-Kit-gs7zws p36: Opportunities I thought he would be a mid, but the Pies preferred Ned Long.",,77.0,63.03,MID,-11.9,224,62.75,4,47,75,10.35,0.306,-1.5,-36.2,11.5,77.9,Medium,No,✔,25,Role: Midfield time likely to remain.,"2026-Draft-Kit-gs7zws p35: SuperCoach and AFL Fantasy Draft Kit - 2026 Ned Long Brayden Maynard Scott Pendlebury44 104 Playing as a defensive mid in 2026 had Long as someone you could play oﬀ waiv... || 2026-Draft-Kit-gs7zws p36: Opportunities I thought he would be a mid, but the Pies preferred Ned Long.",1,1,0,2,-5.7,81.5,81.5,50.6,31.0,65.2,132.0,63.0,14,,,,77.0,23,132.0,4,1,70.0,0.62,45.1,7,41.8,4,4.5,3,-84.0,high,0.97,4,1,1,1,1,0,0,0,0,
Dion Prestia,MID,RIC,78.8,74.0,13,33,12,depth,,201.0,290627,"Interrupted pre-season: Hamstring, injury prone. Role: May get periods of full time mid. | Injury flag: Injured",,78.8,62.91,MID,-11.0,258,66.75,4,58,79,9.09,0.261,-51.6,-86.3,40.8,27.8,High,No,✔,12,"Interrupted pre-season: Hamstring, injury prone. Role: May get periods of full time mid.",,0,0,0,2,-8.3,78.8,78.8,76.7,2.0,74.0,120.0,69.0,13,Injured,,,78.8,12,120.0,3,1,80.0,0.69,72.4,13,75.9,20,51.0,3,-57.0,high,0.89,4,1,1,1,1,0,0,1,0,
Kieren Briggs,RUC,GWS,75.8,70.0,13,26,19,depth,,96.0,1008436,"Role: Poor health through parts of 2025. Could go back to 90 scoring. Flag: Madden playing well, could ruck share or handcuff.",,70.4,62.88,RUC,-8.9,319,11,4,9,14,1.87,0.474,0.0,-25.1,0.3,85.4,Low,No,✔,20,"Role: Poor health through parts of 2025. Could go back to 90 scoring. Flag: Madden playing well, could ruck share or handcuff.",,0,0,0,2,-12.6,75.8,75.8,92.3,-17.0,70.0,111.0,74.0,13,,,,70.4,19,103.0,1,0,68.0,0.71,91.5,22,94.1,14,15.0,3,-223.0,high,0.89,4,1,1,1,1,0,0,1,0,
Zach Reid,DEF,ESS,75.4,,15,23,10,smoky,Role: Scores well down back.,236.0,1012817,"Role: Scores well down back. Monitor best 22, Ridley and Redman in the side may eat into points.",,75.4,62.82,DEF,-0.7,126,55,3,46,61,6.48,0.217,-14.8,-39.7,21.8,64.3,High,No,✔,10,"Role: Scores well down back. Monitor best 22, Ridley and Redman in the side may eat into points.",,0,0,0,2,4.7,75.4,75.4,,0.0,,118.0,2.0,15,,,,75.4,10,118.0,1,0,91.0,0.01,17.0,1,0.0,0,11.1,3,110.0,high,0.89,4,1,1,1,1,0,0,1,0,
Matt Flynn,RUC,WCE,78.7,71.3,15,28,18,depth,,180.0,993902,"Role: Eagles #1 ruck, may share some time with Tyler.",,78.7,62.78,RUC,-6.0,273,15.75,4,14,17,1.09,0.224,-5.3,-30.4,0.4,80.1,High,No,✔,18,"Role: Eagles #1 ruck, may share some time with Tyler.",,0,0,0,2,-9.7,78.7,78.7,68.0,11.0,71.3,101.0,77.0,15,,,,78.7,18,101.0,1,0,81.0,0.76,61.0,4,73.9,9,1.4,3,-93.0,high,0.97,4,1,1,1,1,0,0,0,0,
Cam Rayner,FWD,BRL,70.0,90.4,15,26,23,value,,148.0,1002235,,,70.1,62.76,FWD,1.8,127,39,4,22,50,11.18,0.449,0.0,-38.9,17.8,70.0,Low,No,✔,27,,,0,0,0,2,4.6,68.9,68.9,67.8,1.0,90.4,104.0,16.0,15,,,,70.1,23,104.0,1,0,84.0,0.16,67.6,23,63.7,23,1.2,3,21.0,high,0.94,4,1,1,1,1,0,0,0,0,
Ewan Mackinlay,MID,PTA,75.0,75.0,12,22,1,value,,371.0,1027887,,,75.0,62.56,MID,-14.8,359,,0,,,0.0,0.5,-33.9,-68.6,33.3,45.5,Medium,No,,1,,,0,0,0,1,-15.5,75.0,75.0,,0.0,75.0,75.0,,12,,,,75.0,1,75.0,0,0,73.0,0.0,0.0,0,0.0,0,29.5,3,12.0,medium,0.65,3,1,1,0,1,1,0,1,0,"Club mismatch: ADE, PTA"
James Peatling,MID,ADE,77.7,80.8,12,25,21,depth,,231.0,1006013,,,77.7,62.4,MID,-12.1,281,66,4,60,73,4.95,0.27,-0.2,-34.9,10.8,79.2,Medium,No,✔,23,,,0,0,0,2,-10.2,77.0,77.0,83.5,-7.0,80.8,117.0,49.0,12,,,,77.7,21,117.0,3,0,73.0,0.49,61.8,17,48.2,10,2.2,3,-50.0,high,0.94,4,1,1,1,1,0,0,0,0,
Nick Haynes,DEF,CAR,75.7,77.0,14,33,23,smoky,Role: Fewer half back points with the return of Newman.,202.0,295265,Role: Fewer half back points with the return of Newman. | Injury flag: Managed,,75.7,62.3,DEF,-0.4,120,62.25,4,55,69,5.07,0.112,-7.9,-32.8,14.8,71.2,Medium,No,✔,23,Role: Fewer half back points with the return of Newman.,,0,0,0,2,5.0,75.7,75.7,78.7,-3.0,77.0,95.0,,14,Managed,,,75.7,23,95.0,0,0,86.0,0.0,71.5,8,66.5,19,4.5,3,82.0,high,0.97,4,1,1,1,1,0,0,0,0,
Brent Daniels,FWD,GWS,66.0,,13,26,6,smoky,"Injury: Hamstring, Available TBA.",181.0,1002251,"Injury: Hamstring, Available TBA. Slow return from injured 2025. Punt, could be a top 10 forward. | PDF insight: 2026-AFL-Fantasy-Draft-Kit p19: DEFENDER MIDFIELDER RUCK FORWARD Nic Newman Josh Dunkley Max Gawn Shaun Mannagh Miles Bergman Matt Rowell Harry McKay James Sicily George Hewett Brent Daniels Tom Libera... | Injury flag: Uncertain",,47.7,61.89,FWD,-2.2,153,28.75,4,15,51,13.46,0.598,7.4,-30.4,10.2,78.5,High,No,✔,6,"Injury: Hamstring, Available TBA. Slow return from injured 2025. Punt, could be a top 10 forward.",2026-AFL-Fantasy-Draft-Kit p19: DEFENDER MIDFIELDER RUCK FORWARD Nic Newman Josh Dunkley Max Gawn Shaun Mannagh Miles Bergman Matt Rowell Harry McKay James Sicily George Hewett Brent Daniels Tom Libera...,0,1,0,2,1.3,66.0,66.0,83.5,-18.0,,88.0,18.0,13,Uncertain,,,47.7,6,88.0,0,0,54.0,0.17,85.9,21,70.2,17,30.8,3,28.0,high,0.89,4,1,1,1,1,0,0,1,0,
Josh Worrell,DEF,ADE,76.1,75.2,12,24,23,smoky,Role: May get more kick ins with Keane injury.,117.0,1011981,Role: May get more kick ins with Keane injury.,,75.3,61.75,DEF,0.0,107,54.25,4,47,67,7.98,0.228,-3.0,-27.9,10.7,76.1,Low,No,✔,25,Role: May get more kick ins with Keane injury.,,0,0,0,2,6.5,77.2,77.2,71.1,6.0,75.2,114.0,,12,,,,75.3,23,103.0,1,0,88.0,0.0,68.7,13,59.1,12,1.9,3,10.0,high,0.97,4,1,1,1,1,0,0,0,0,
Brayden Maynard,DEF,COL,70.4,68.8,14,29,18,value,,214.0,992010,PDF insight: 2026-Draft-Kit-gs7zws p35: SuperCoach and AFL Fantasy Draft Kit - 2026 Ned Long Brayden Maynard Scott Pendlebury44 104 Playing as a defensive mid in 2026 had Long as someone you could play oﬀ waiv...,,66.4,61.73,DEF,-5.7,171,,0,,,0.0,0.5,-8.3,-33.2,15.2,70.8,Low,No,✔,20,,2026-Draft-Kit-gs7zws p35: SuperCoach and AFL Fantasy Draft Kit - 2026 Ned Long Brayden Maynard Scott Pendlebury44 104 Playing as a defensive mid in 2026 had Long as someone you could play oﬀ waiv...,0,1,0,2,-0.3,70.4,70.4,71.0,-1.0,68.8,104.0,,14,,,,66.4,18,104.0,1,0,78.0,0.0,71.0,23,74.6,22,4.4,3,43.0,high,0.81,3,1,1,0,1,0,0,0,0,
Darcy Wilson,MID/FWD,STK,66.1,77.7,16,20,18,value,,197.0,1027875,"PDF insight: 2026-Draft-Kit-gs7zws p122: three Norm Smiths 9 George Wardlaw MID Bull, but some questions on consistency 10 Oliver Hollands DEF Class and a role that suits his outside game 11 Harley Reid MID Jet... || 2026-Draft-Kit-gs7zws p102: SuperCoach and AFL Fantasy Draft Kit - 2026 Darcy Wilson Marcus Windhager Mason Wood32222 After a very promising rookie year in 2024, Wilson’s 2025 didn’t go so well, mi...",,63.7,61.7,FWD,-2.1,146,36.5,4,25,41,6.65,0.601,5.3,-33.6,12.8,75.3,Low,Yes,✔,18,,"2026-Draft-Kit-gs7zws p122: three Norm Smiths 9 George Wardlaw MID Bull, but some questions on consistency 10 Oliver Hollands DEF Class and a role that suits his outside game 11 Harley Reid MID Jet... || 2026-Draft-Kit-gs7zws p102: SuperCoach and AFL Fantasy Draft Kit - 2026 Darcy Wilson Marcus Windhager Mason Wood32222 After a very promising rookie year in 2024, Wilson’s 2025 didn’t go so well, mi...",1,0,0,2,1.8,66.1,66.1,65.4,1.0,77.7,106.0,0.0,16,,,,63.7,18,106.0,1,0,82.0,0.0,65.4,23,0.0,0,11.6,3,51.0,high,0.86,4,1,1,1,1,0,0,1,0,
Alex Neal-Bullen,FWD,ADE,69.6,69.6,12,30,23,value,,227.0,296420,,,69.4,61.57,FWD,1.4,111,49.25,4,43,60,6.57,0.301,-0.4,-39.3,18.2,69.6,Low,No,✔,25,,,0,0,0,2,6.0,70.3,70.3,79.0,-9.0,69.6,135.0,,12,,,,69.4,23,135.0,2,1,81.0,0.0,79.0,23,72.8,23,0.9,3,116.0,high,0.94,4,1,1,1,1,0,0,0,0,
Daniel Rioli,DEF,GCS,71.2,52.0,12,28,18,smoky,"Role: Injuries in 2025, should be a main distributor.",198.0,1000981,"Role: Injuries in 2025, should be a main distributor. Some wing time in pre-season. More direct than side to side chipping.",,71.2,61.53,DEF,-4.9,162,45.25,4,40,57,6.87,0.359,-1.5,-26.4,9.7,77.6,Low,No,✔,20,"Role: Injuries in 2025, should be a main distributor. Some wing time in pre-season. More direct than side to side chipping.",,0,0,0,2,0.4,71.1,71.1,83.5,-12.0,52.0,113.0,,12,,,,71.2,18,113.0,1,0,79.0,0.0,83.5,23,80.3,23,6.5,3,36.0,high,0.97,4,1,1,1,1,0,0,0,0,
Wayne Milera,DEF,ADE,72.1,76.6,12,28,22,value,,228.0,990882,,,72.0,61.44,DEF,-4.0,152,49.5,4,40,56,5.89,0.297,-5.4,-30.3,12.6,73.7,Medium,No,✔,24,,,0,0,0,2,1.4,72.1,72.1,62.3,10.0,76.6,111.0,,12,,,,72.0,22,111.0,3,0,80.0,0.0,62.3,3,71.4,22,1.7,3,76.0,high,0.94,4,1,1,1,1,0,0,0,0,
Conor Nash,MID,HAW,76.3,74.6,14,27,19,depth,,240.0,1007124,"PDF insight: 2026-Draft-Kit-gs7zws p71: Opportunities Still gets mid time so I’m not writing him oﬀ, but isn’t a ‘first option’ type player.",,74.1,61.34,MID,-13.5,293,66.5,4,65,68,1.12,0.264,-1.8,-36.5,11.7,77.6,Low,No,✔,22,,"2026-Draft-Kit-gs7zws p71: Opportunities Still gets mid time so I’m not writing him oﬀ, but isn’t a ‘first option’ type player.",0,1,0,2,-10.8,76.3,76.3,75.4,1.0,74.6,103.0,69.0,14,,,,74.1,19,103.0,2,0,74.0,0.66,73.9,23,82.0,23,3.5,3,-53.0,high,0.94,4,1,1,1,1,0,0,0,0,
Mason Wood,MID/FWD,STK,68.7,62.2,16,32,21,value,,229.0,295340,Interrupted pre-season: Calf. Previously scored really well on a wing/fwd rotation. Punt.,,68.7,61.34,FWD,0.5,129,49.75,4,42,63,7.95,0.452,-5.7,-44.6,20.6,64.3,High,Yes,✔,21,Interrupted pre-season: Calf. Previously scored really well on a wing/fwd rotation. Punt.,,0,0,0,2,4.4,68.7,68.7,86.8,-18.0,62.2,121.0,,16,,,,68.7,21,121.0,1,1,87.0,0.0,82.6,18,91.6,23,4.4,3,100.0,high,0.97,4,1,1,1,1,0,0,0,0,
Ryley Sanders,MID/FWD,WBD,67.6,53.7,16,21,21,smoky,Interrupted pre-season: Hamstring.,152.0,1017939,"Interrupted pre-season: Hamstring. Concussion, Rd1 Return. Role: Less midfield time. | Injury flag: Managed",,66.1,61.34,FWD,-0.6,125,31,4,20,44,8.54,0.663,-2.4,-41.3,18.2,67.6,Medium,Yes,✔,21,"Interrupted pre-season: Hamstring. Concussion, Rd1 Return. Role: Less midfield time.",,0,0,0,2,4.8,69.2,69.2,69.5,-0.0,53.7,130.0,10.0,16,Managed,,,66.1,21,130.0,2,1,77.0,0.1,63.9,14,0.0,0,3.1,3,27.0,high,0.97,4,1,1,1,1,0,0,0,0,
Charlie Curnow,FWD,SYD,68.2,63.0,15,29,18,depth,,84.0,996731,"Injury impacted 2025, should go back to 2024 scoring of 75 to 80 av fwd. Punt. | PDF insight: 2026-AFL-Fantasy-Draft-Kit p10: OFFICIAL 2026 DRAFT KIT 10 AFL FANTASY SYDNEY SWANS CALVIN SLEEPER BUST KEEPER CHARLIE CURNOW FWD 65.8 (18) Let’s face facts… Curnow will have more ball entering the for...",,65.8,61.16,FWD,0.0,135,21.75,4,13,36,8.84,0.699,4.3,-34.6,13.6,74.3,Low,No,✔,18,"Injury impacted 2025, should go back to 2024 scoring of 75 to 80 av fwd. Punt.",2026-AFL-Fantasy-Draft-Kit p10: OFFICIAL 2026 DRAFT KIT 10 AFL FANTASY SYDNEY SWANS CALVIN SLEEPER BUST KEEPER CHARLIE CURNOW FWD 65.8 (18) Let’s face facts… Curnow will have more ball entering the for...,1,0,0,2,3.8,68.2,68.2,76.9,-9.0,63.0,90.0,,15,,,,65.8,18,90.0,0,0,86.0,0.0,73.9,21,86.8,23,8.5,3,-51.0,high,0.89,4,1,1,1,1,0,0,1,0,
Levi Ashcroft,MID,BRL,74.4,72.6,15,19,23,depth,,160.0,1028560,"PDF insight: 2026-Draft-Kit-gs7zws p19: Levi Ashcroft was impressive in his debut season, playing every game, and his brother got even better, capping it all oﬀ with a stellar finals series and a second Norm S...",,74.4,61.1,MID,-15.4,351,58,4,50,70,7.35,0.36,1.4,-33.3,9.9,80.8,Low,No,✔,27,,"2026-Draft-Kit-gs7zws p19: Levi Ashcroft was impressive in his debut season, playing every game, and his brother got even better, capping it all oﬀ with a stellar finals series and a second Norm S...",1,0,0,2,-14.8,72.3,72.3,,0.0,72.6,115.0,6.0,15,,,,74.4,23,115.0,2,0,77.0,0.04,0.0,0,0.0,0,8.5,3,-191.0,high,0.86,4,1,1,1,1,0,0,1,0,
